DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
Hypogene karstification,movement,,upward,,,,"Hypogene karstification is defined as upward movement � of the cave-forming agent � (sensu Klimchouk, 2007, 2012)."
doline,areas,,topographically depressed,,,,"The term doline, of Slavonic origin, means literally valley but actually it has been used since a long time to indicate more or less well defined topographically depressed areas related to karst."
Caves,,,natural,,underground,,Caves are natural underground laboratories where crystal growth processes can be directly observed.
cave passages,,"either by alluviation in a vadose environment , or upwards dissolution in a phreatic environment through a process commonly known as paragenesis|Influxes of sediment into a cave system fundamentally alters the way",,,in a vadose environment|in a phreatic environment,,"Influxes of sediment into a cave system fundamentally alters the way cave passages develop, either by alluviation in a vadose environment, or upwards dissolution in a phreatic environment through a process commonly known as paragenesis. in a vadose environment in a phreatic environment"
Clastic sediments,,,,important part of the mechanism for storage and transport of contaminants,,,"Clastic sediments are an important part of the mechanism for storage and transport of contaminants; indeed, solid contaminants can be considered as a form of clastic sediment."
epiphreatic zone,,,,,,between the highest and lowest levels that the water table fluctuates between,The epiphreatic zone is the range of depths between the highest and lowest levels that the water table fluctuates between.
Specific karstic ablation,,,,,,,Specific karstic ablation is the relationship between the volume of limestone taken out of the system and the surface area of the affected region.
Poljes,karst,,,they are one of the rare formations that can support large-scale agriculture,,,"Poljes are an important component of karst, where, aside from the bottoms of major dolines, they are one of the rare formations that can support large-scale agriculture."
blind valley,gorge,,that terminates abruptly,,at a point where the stream sinks,,A blind valley is a gorge that terminates abruptly at a point where the stream sinks.
Ghost rock karstification,phenomenon,where the action of water occurs only as it filters in through fractures,intermediate,,,,"Ghost rock karstification is an intermediate phenomenon, between karstification stricto sensu and the alteration of fractured rock, for example like in granites, where the action of water occurs only as it filters in through fractures."
Dolines,,sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water,,,,,Dolines are a sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water.
unroofed caves,,is the consequence of the type and shape of the cave,,,,,"The shape of unroofed caves is the consequence of the type and shape of the cave and the development of the karst aquifer and its surface in various geological, geomorphological, climate, and hydrological conditions. various geological, geomorphological, climate, and hydrological conditions"
Karst waters,,,,natural source and a public and economic good,,,"Karst waters are an essential part of the ecosystem, a natural source and a public and economic good."
lakes,,is the consequence of the difference in the volumes of inflowing and outflowing water,,,on the majority of larger karst poljes,,"In Slovenia, the formation of lakes on the majority of larger karst poljes is the consequence of the difference in the volumes of inflowing and outflowing water."
Karst poljes,,natural,,important regulators of water conditions|retainers of discharge surpluses,in rivers in the lower parts of river basins,,Karst poljes are natural retainers of discharge surpluses and important regulators of water conditions in rivers in the lower parts of river basins.
closed depressions,,,,,on karstic surfaces,,"The oldest explanation of formation of closed depressions on karstic surfaces is a sudden collapse (Cviji �, 1893), according to which the term � collapse doline � was coined."
Equipotential surfaces,,,,,,of equal hydraulic head,"Equipotential surfaces are locations of equal hydraulic head, which can be measured at piezometers."
Collapse dolines,depressions,that were formed with slow collapsing of roofs|afterwards with transformation of slopes,,,above larger underground cavities,large,Collapse dolines are large depressions that were formed with slow collapsing of roofs above larger underground cavities and afterwards with transformation of slopes.
Caves,,,,,in karst terrains,,"Caves are an important part of both the terrestrial and aquatic ecosystems in karst terrains, but are not the only components."
bowlshaped doline,,"In instances where dissolution is the prevailing mechanism , a bowlshaped doline will probably form",,,,,"In instances where dissolution is the prevailing mechanism, a bowlshaped doline will probably form."
point-recharge doline,,,,,,,The first type is a point-recharge doline which is strongly connected to outflow of surface streams into karst subsurface.
inception doline,,is triggered by a change of hydraulic conductivity due to lithological and structural factors .|that also originates from the centripetal convergence of water,,,this occurs inside a pre-existing hydrogeological structure,,The third type is an inception doline that also originates from the centripetal convergence of water; this occurs inside a pre-existing hydrogeological structure and is triggered by a change of hydraulic conductivity due to lithological and structural factors.
active cave,cave,,,,,,active cave - a cave which has a stream flowing in it.
aeolian calcarenite,limestone,,,,in coastal dune sands|on land,,aeolian calcarenite - a limestone formed on land by solution and redeposition of calcium carbonate in coastal dune sands containing a large proportion of calcareous sand from mollusc shells and other organic remains.
aragonite,calcium carbonate,,denser and orthorhombic|crystalline form,,,,"aragonite - a less common crystalline form of calcium carbonate than calcite, denser and orthorhombic."
bare karst,karst,,,,,,bare karst - karst with much exposed bedrock.
bathyphreatic,,,,,through downward looping passages|in the phreatic zone,,bathyphreatic - referring to water moving with some speed through downward looping passages in the phreatic zone.
bed,layer,,,,,,bed - a depositional layer of sedimentary bedrock or. unconsolidated sediment.
bedding-grike,slot in a karst rock outcrop,as a result of solution along a bedding-plane,narrow rectilinear,,along a bedding-plane,,"bedding-grike - a narrow, rectilinear slot in a karst rock outcrop as a result of solution along a bedding-plane. along a bedding-plane"
bedding plane,surface,,planar,"separating two beds , usually planar",,,"bedding plane - a surface separating two beds, usually planar. planar"
bedding-plane cave,cavity,,elongate in cross-section,,developed along a bedding-plane,,bedding-plane cave - a cavity developed along a bedding-plane and elongate in cross-section as a result.
biospeleology,study,,,,,,biospeleology - the scientific study of organisms living in caves.
blind shaft,cave,,not reaching the surface|vertical extension upwards,,,small in area in relation to its height,blind shaft - a vertical extension upwards from part of a cave but not reaching the surface; small in area in relation to its height.
blind valley,valley,,closed abruptly at its lower end by a cliff or slope facing up the valley,,,,blind valley - a valley that is closed abruptly at its lower end by a cliff or slope facing up the valley.
blowhole,hole,,hole to the surface,through which waves force air and water,in the roof of a sea cave,,blowhole - a hole to the surface in the roof of a sea cave through which waves force air and water.
blowhole,hole,,hole in the ground,"through which air blows in and out strongly , sometimes audibly",,,"blowhole - a hole in the ground through which air blows in and out strongly, sometimes audibly; common in the nullarbor plain."
branchwork,system of underground streams,,branches join successively to form a major stream or passage|dendritic,,,,branchwork - a dendritic system of underground streams or passages wherein branches join successively to form a major stream or passage.
breccia,fragments of rock and / or fossils cemented together,,angular fragments of rock,,,,breccia - angular fragments of rock and / or fossils cemented together or with a matrix of finer sediment. of rock
canopy,speleothem,,consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge,,,,canopy - a compound speleothem consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge.
canyon,valley,frequently formed by a river rising on impervious rocks outside the karst area,deep valley with steep to vertical walls,,,,canyon - a deep valley with steep to vertical walls; in karst frequently formed by a river rising on impervious rocks outside the karst area.
canyon,cavity,cut by running water in the roof or floor of a cave,"deep , elongated cavity",forming a cave passage,,,"canyon - a deep, elongated cavity cut by running water in the roof or floor of a cave or forming a cave passage."
cave,cavity,,,,,large enough to be entered by man,"cave - a natural cavity in rock large enough to be entered by man. it may be water-filled. if it becomes full of ice or sediment and is impenetrable, the term applies but will need qualification."
cave blister,egg-shell calcite,,almost perfect hemisphere,,,,cave blister - an almost perfect hemisphere of egg-shell calcite.
cave coral,speleothems,,consisting of short stalks with bulbous ends|usually occurring in numbers in patches,,,very small,"cave coral - very small speleothems consisting of short stalks with bulbous ends, usually occurring in numbers in patches."
cave earth,,,,,in a cave,,"cave earth - clay, silt, fine sand and / or humus deposited in a cave."
cave ecology,study,,,,,,"cave ecology - the study of the interaction between cave organisms and their environment, e.g., energy input from surface, climatic influences."
cave fill,materials,,,,cover the bedrock floor,,"cave fill - transported materials such as silt, day, sand and gravel which cover the bedrock floor or partially or wholly block some part of a cave."
cave pearl,speleothem,,polished rounded|smooth,,found in shallow hollows into which water drips,,"cave pearl - a smooth, polished and rounded speleothem found in shallow hollows into which water drips."
cave spring,flow of water,,,,inside a cave,,cave spring - a natural flow of water from rock or sediment inside a cave.
cave system,collection of caves,,,,,,cave system - a collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.
cavern,chamber,,,,within a cave,very large,cavern - a very large chamber within a cave.
cenote,doline,,wall-sided,,,,"cenote - a partly water-tilled, wall-sided doline."
chamber,cavity,,,,in a cave,with considerable width and length|largest order of cavity|not necessarily great height,"chamber - the largest order of cavity in a cave, with considerable width and length but not necessarily great height."
choke,rock debris|cave fill,,,blocking part of a cave,,,choke - rock debris or cave fill blocking part of a cave.
column,speleothem,formed by the growth and joining of a stalactite and a stalagmite|by the growth of either to meet bedrock,from floor to ceiling,,,,"column - a speleothem from floor to ceiling, formed by the growth and joining of a stalactite and a stalagmite, or by the growth of either to meet bedrock."
conduit,stream course|passage,,circular or elliptical passage,,underground,,conduit - an underground stream course completely filled with water and under hydrostatic pressure or a circular or elliptical passage inferred to have been such a stream course.
corrosion,wearing away of bedrock,"by mechanical action of moving agents , especially water",,,,,"corrosion - the wearing away of bedrock or loose sediment by mechanical action of moving agents, especially water."
curtain,speleothem,,in the form of a wavy or folded sheet,,hanging from the roof or wall of a cave,,"curtain - a speleothem in the form of a wavy or folded sheet, often translucent and resonant, hanging from the roof or wall of a cave."
dark zone,part of a cave,,,,part of a cave which daylight does not reach,,dark zone - the part of a cave which daylight does not reach.
decomposers,living things,,,that subsist by extracting energy from tissues of dead animals and plants.detritivore,,,"decomposers - living things, chiefly bacteria and fungi, that subsist by extracting energy from tissues of dead animals and plants.detritivore organisms which feed on organic detritus, such as the dead parts of plants or the dead bodies and waste products of animals."
doline,depression,,"of simple but variable form , e.g . , cylindrical , conical , bowl - or dish-shaped|closed depression",draining underground,,from a few to many hundreds of metres in dimension,"doline - a closed depression draining underground in karst, of simple but variable form, e.g., cylindrical, conical, bowl - or dish-shaped. from a few to many hundreds of metres in dimension."
dolomite,mineral,,,,,,dolomite - a mineral consisting of the double carbonate of magnesium and calcium.
dome,hollow,formed by breakdown and / or salt weathering,hemispheroidal hollow,,in the roof of a cave,large,"dome - a large hemispheroidal hollow in the roof of a cave, formed by breakdown and / or salt weathering, generally in mechanically weak rocks, which prevents bedding and joints dominating the form."
driphole,hole,formed by water dripping onto the cave floor,,,cave floor,,driphole - a hole formed by water dripping onto the cave floor. cave floor
dripline,line on the ground,formed by drips from the rock above,,useful in cave survey to define the beginning of the cave,at a cave entrance|on the ground,,"dripline - a line on the ground at a cave entrance formed by drips from the rock above, useful in cave survey to define the beginning of the cave."
dripstone,deposit,formed from drops falling from cave roofs or walls,,,,,"dripstone - a deposit formed from drops falling from cave roofs or walls, usually of calcite."
dry cave,cave,,,,,,"dry cave - a cave without a running stream, also dead cave."
dead cave,cave,,,,,,"dry cave - a cave without a running stream, also dead cave."
dry valley,valley,,without a surface stream channel,,,,dry valley - a valley without a surface stream channel.
dynamic phreas,phreatic zone,,,,,,dynamic phreas - a phreatic zone or part of a phreatic zone where water moves fast with turbulence under hydrostatic pressure.
erosion,wearing away,"by mechanical and chemical actions of all moving agents , such as rivers , wind and glaciers",,,at the surface or in caves,,"erosion - the wearing away of bedrock or sediment at the surface or in caves by mechanical and chemical actions of all moving agents, such as rivers, wind and glaciers."
exsurgence,spring,fed only by percolation water,,,,,exsurgence - a spring fed only by percolation water.
fault,fracture,,,separating two parts of a once continuous cock body with relative movement along the fault plane .,along the fault plane,,fault - a fracture separating two parts of a once continuous cock body with relative movement along the fault plane. along the fault plane
fault cave,cave,by movement of the fault|by preferential solution along it,,,developed along a fault or fault zone,,"fault cave - a cave developed along a fault or fault zone, either by movement of the fault or by preferential solution along it."
fault plane,plane,along which movement of a fault has taken place,,,,,fault plane - a plane along which movement of a fault has taken place.
fissure,crack,,an open crack,,,,fissure - an open crack in rock or soil.
flowstone,deposit,formed from thin films or trickles of water,,,over floors or walls,,"flowstone - a deposit formed from thin films or trickles of water over floors or walls, usually of calcite. cf. travertine."
fluorometer,instrument,,,used in water tracing and dye gauging,,,fluorometer - an instrument for measuring the fluorescence of water; used in water tracing and dye gauging.
glacier cave,cave,,,,formed within or beneath a glacier,,glacier cave - a cave formed within or beneath a glacier.
grike,slot in a rock outcrop,as a result of solution along a joint,vertical or steeply inclined|deep narrow|rectilinear,,in a rock outcrop,,"grike - a deep, narrow, vertical or steeply inclined rectilinear slot in a rock outcrop as a result of solution along a joint."
gypsum flower,deposit of gypsum,,elongated and curving,,on a cave surface,,gypsum flower - an elongated and curving deposit of gypsum on a cave surface.
half-blind valley,blind valley,,,,,,half-blind valley - a blind valley which overflows its threshold when the streamsink cannot accept all the water at a time of flood.
half-tube,recess,,"often meandering or anastomosing|semi-eylindrical , elongate",,in a cave surface,,"half-tube - a semi-eylindrical, elongate recess in a cave surface, often meandering or anastomosing."
helictite,speleothem,,to give a curving or angular form,,,,"helictite - a speleothem, which at one or more stages of its growth changes its axis from the vertical to give a curving or angular form."
hydrology,scientific study,,,,,,"hydrology - the scientific study of the nature, distribution and behaviour of water."
ice cave,cave,,,,,,ice cave - a cave with perennial ice in it.
inflow cave,cave,,,into which a stream enters or is known to have entered formerly,,,inflow cave - a cave into which a stream enters or is known to have entered formerly but which cannot be followed downstream to the surface.
karren,the minor forms of karst,as a result of solution of rock,,,on the surface or underground,,karren - the minor forms of karst as a result of solution of rock on the surface or underground.
karst,tereain,on account of greater solubility of certain rocks in natural waters than is common,,,,,karst - tereain with special landforms and drainage characteristics on account of greater solubility of certain rocks in natural waters than is common.
karst window,depression,,dosed,,,,"karst window - a dosed depression, not a polje, which has a stream flowing across its bottom."
keyhole,passage or opening,,which is round above and narrow below,,in a cave,small,"keyhole - a small passage or opening in a cave, which is round above and narrow below."
lava-cave,cave,formed by flow of liquid lava through a solidified mass|by roofing of an open channel of flowing lava,usually a tube or tunnel,,in a lava flow,,"lava-cave - a cave in a lava flow; usually a tube or tunnel formed by flow of liquid lava through a solidified mass, or by roofing of an open channel of flowing lava."
limestone,sedimentary rock,,,,,,limestone - a sedimentary rock consisting mainly of calcium carbonate cac03 •
live cave,cave,,,,,,live cave - a cave containing a stream or active speleothems.marble limestone recrystallized and hardened by pressure and heat.
meander niche,part of a cave,formed by a stream meandering and cutting down at the same time,hemispherically roofed part of a cave,,,,meander niche - a hemispherically roofed part of a cave formed by a stream meandering and cutting down at the same time.
moonmilk,speleothem,,"soft , white plastic",,,,"moonmilk - a soft, white plastic speleothem consisting of calcite, hydrocalcite, hydromagnesite or huntite."
natural arch,arch of rock,formed by weathering,,,,,natural arch - an arch of rock formed by weathering.
natural bridge,bridge,formed by erosive agents,spanning a ravine or valley,,,,natural bridge - a bridge of rock spanning a ravine or valley and formed by erosive agents.
outflow cave,cave,,,,,,outflow cave - a cave from which a stream flows or formerly did so and which cannot be followed upstream to the surface.
fossil ' karst ',features,remnant from a previous period of karstification,,,,,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias."
palaeokarst,features,remnant from a previous period of karstification,,,,,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias."
pendulite,stalactite,which has been partly submerged,submerged part covered with dog-tooth spar to give the appearance of a drumstick,,,,pendulite - a kind of stalactite which has been partly submerged and the submerged part covered with dog-tooth spar to give the appearance of a drumstick.
percolation water,water,,,"moving mainly downwards through pores , cracks and tight fissures",in the vadose zone,,"percolation water - water moving mainly downwards through pores, cracks and tight fissures, in the vadose zone."
permeability,,,,permitting water to pass through it,,,permeability - the property of rock or soil permitting water to pass through it. permitting water to pass through it
phreatic water,water,,,,below the level at which all voids in the rock are completely filled with water,,phreatic water - water below the level at which all voids in the rock are completely filled with water.
phreatic zone,zone,,,,where voids in the rock are completely filled with water,,phreatic zone - zone where voids in the rock are completely filled with water.
pillar,bedrock column,left by the removal of surrounding rock,from roof to floor,,,,pillar - a bedrock column from roof to floor left by the removal of surrounding rock.
pipe,cavity,,tubular,,projecting as much as several metres down from the surface into ' karst rocks,projecting as much as several metres down from the surface,"pipe - a tubular cavity projecting as much as several metres down from the surface into ' karst rocks and often filled with earth, sand, gravel, breccia, etc. projecting as much as several metres down from the surface"
plunge pool,swirlhole,,,,occurring at the foot of a waterfall or rapid|on the surface or underground,generally of large size,"plunge pool - a swirlhole, generally of large size, occurring at the foot of a waterfall or rapid, on the surface or underground."
polje,closed depression,,with a flat floor across which there may be an intermittent or perennial stream|the floor makes a sharp break with parts of surrounding slopes|closed depression,draining underground,,large,"polje - a large closed depression draining underground, with a flat floor across which there may be an intermittent or perennial stream and which may be liable to flood and become a lake. the floor makes a sharp break with parts of surrounding slopes. depression stream"
polygonal karst,karst,,so that divides between them form a crudely polygonal network|pitted by closed depressions,,,,polygonal karst - karst completely pitted by closed depressions so that divides between them form a crudely polygonal network.
porosity,property,,,,,,porosity - the property of rock or soil of having small voids between the constituent particles. the voids may not interconnect. rock or soil
pseudokarst,terrain,,resemble those of karst,,,,pseudokarst - terrain with landforms which resemble those of karst but which are not the producer of karst processes.
relict karst,cave forms,produced by earlier geomorphic processes within the present cycle of karstification,,open to modification by present-day processes,,,"relict karst - old cave forms produced by earlier geomorphic processes within the present cycle of karstification and open to modification by present-day processes such as deposition of speleothems, sediments or skeletal deposits."
resurgence,spring,,,,"where a stream , which has a course on the surface higher up , reappears at the surface",,"resurgence - a spring where a stream, which has a course on the surface higher up, reappears at the surface."
salt weathering,detachment of particles,by the growth of crystals from salt solutions,,,,,salt weathering - detachment of particles of various sizes from a rock surface by the growth of crystals from salt solutions.
sea cave,cave,formed by wave attack or solution,,,,,"sea cave - a cave in present-day or emerged sea diffs, formed by wave attack or solution."
shaft,cavity,,roughly equal in horizontal dimensions but much deeper than broad|a vertical cavity,,,,shaft - a vertical cavity roughly equal in horizontal dimensions but much deeper than broad.
shawl,curtain,,simple triangular-shaped,,,,shawl - a simple triangular-shaped curtain.
show cave,cave,,,,,,show cave - a cave that has been made accessible to the public for guided visits.
siphon,passage,,of inverted v-profile,which delivers a flow of water whenever the head of water upstream rises above the top of the inverted u,,,siphon - a water-filled passage of inverted v-profile which delivers a flow of water whenever the head of water upstream rises above the top of the inverted u.
solution,change of bedrock,,,,,,"solution - in karst studies, the change of bedrock from the solid state to the liquid state by combination with water."
solution flute,solution hollow,,running down the maximum slope of the rock|with sharp ribs between it and its neighbours,,,uniform fingertip width and depth,"solution flute - a solution hollow running down the maximum slope of the rock, of uniform fingertip width and depth, with sharp ribs between it and its neighbours."
solution pan,depression,,its sides may overhang and carry solution flutes|dish-shaped depression,,on flatfish rock,,"solution pan - a dish-shaped depression on flatfish rock; its sides may overhang and carry solution flutes. its bottom may have a cover of organic remains, silt, clay or rock fragments."
solution runnel,solution hollow,,increasing in depth and width down its length,,running down the maximum slope of the rock,larger than a solution flute,"solution runnel - a solution hollow running down the maximum slope of the rock, larger than a solution flute and increasing in depth and width down its length."
speleogen,cave feature,formed erosionally or by weathering,,,in cave enlargement,,"speleogen - a cave feature formed erosionally or by weathering in cave enlargement, such as current markings (cf. scallop) or rock pendants."
speleology,,,,,,,"speleology - the exploration, description and scientific study of caves and related phenomena."
speleothem,mineral deposit,,,,formed in caves,,"speleothem - a secondary mineral deposit formed in caves, most commonly calcite."
splash cup,shallow cavity,,,,in the top of a stalagmite,,splash cup - a shallow cavity in the top of a stalagmite.
spongework,,,"irregular , interconnecting cavities|intricately perforating the rock",,,the cavities may range from a few centimetres to more than a metre across,"spongework - a complex of irregular, interconnecting cavities intricately perforating the rock; the cavities may range from a few centimetres to more than a metre across."
spring,,natural,,,from rock or soil onto the land surface or into a body of surface water,,spring - a natural flow of water from rock or soil onto the land surface or into a body of surface water.
stalactite,a speleothem,,hanging downwards from a roof or wall|usually with a central hollow tube|of cylindrical or conical form,,,,"stalactite - a speleothem hanging downwards from a roof or wall, of cylindrical or conical form, usually with a central hollow tube."
stalagmite,a speleothem,formed by precipitation from drips,projecting vertically upwards from a cave floor,,,,stalagmite - a speleothem projecting vertically upwards from a cave floor and formed by precipitation from drips.
steephead,,,ending abruptly upstream|steep-sided,,where a stream emerges or formerly did so,generally short,"steephead - a steep-sided valley in karst, generally short, ending abruptly upstream where a stream emerges or formerly did so."
straw,stalactite,,"long , thin-walled tubular",,,less than about 1em in diameter,"straw - a long, thin-walled tubular stalactite less than about 1em in diameter."
subcutaneous zone,,as a result of the presence of many solutionally enlarged fissures,,by a higher porosity and storage capacity for water,the uppermost layers of rock below the soil on a karst,,subcutaneous zone - the uppermost layers of rock below the soil on a karst. this zone is distinguished from lower zones by a higher porosity and storage capacity for water as a result of the presence of many solutionally enlarged fissures. on a karst
subjacent karst,karst,,,,underlying other rock formations,,subjacent karst - karst developed in soluble beds underlying other rock formations; the surface mayor may not be affected by the karst development.
sump,,,,,in a cave passage when the water meets the roof,,sump - a point in a cave passage when the water meets the roof.
swirlhole,,"eroded by eddying water , with or without sand or pebble tools",,,in a streambed,,"swirlhole - a hole in rock in a streambed eroded by eddying water, with or without sand or pebble tools."
syngenetic karst,karst,,,,,,syngenetic karst - karst developed in aeolian calcarenite when the evolution of karst features has taken place at the same time as the lithification of dune sand.
tafoni,hollows,weathered in rock,roughly hemispherical hollows,,either at the surface or in caves,,tafoni - roughly hemispherical hollows weathered in rock either at the surface or in caves.
through cave,a cave,,,which may be followed from entrance to exit along a stream course or along a passage which formerly carried a stream,,,through cave - a cave which may be followed from entrance to exit along a stream course or along a passage which formerly carried a stream.
tower karst,conekarst,,in which the residual hills have very steep to overhanging lower slopes,,,,tower karst - conekarst in which the residual hills have very steep to overhanging lower slopes. there my be alluvial plains between the towers and flat-floored depressions within them.
tracer,,,,,,,tracer - a material introduced into surface or underground water where it disappears or into soil to determine drainage interconnections and travel time.
Karst,landscape,created by the dissolution of carbonate rocks,,,,,"Karst is a landscape created by the dissolution of carbonate rocks, although similar features can also be found in volcanic and permafrost areas."
Karst,product of processes,product of processes that operate on continental land masses,,,on continental land masses,,"Karst is a product of processes that operate on continental land masses, especially when the land masses are uplifted above sea level. on continental land masses"
Karst,terrain,arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,,,,,Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground. rock
Karst,landscape,,,,,,"Karst is the term used to describe a special style of landscape containing caves and extensive underground water systems that is developed on especially soluble rocks such as limestone, marble, and gypsum."
Karst conduit networks,total length of the existing conduits,,,,,the length of conduits wider than about 1 cm in diameter,"“ Karst conduit networks ” are defined as the total length of the existing conduits within a karst massif, i.e. the length of conduits wider than about 1 cm in diameter (as defined by Ford & Williams 1989)."
Karst depression,,,,,,,"Karst depression is a common group term for dolines, uvalas and poljes."
Karst topography,landscape,shaped by the dissolution of soluble bedrock,,,,,Karst topography is a landscape shaped by the dissolution of soluble bedrock. bedrock
karst topography,areas,,,,,,"In geology, the term karst topography is used to describe areas similar to that found in Kras."
karst windows,Short steep-sided valleys,caused by collapse of an underground cavern,exposing the river to the surface|Short steep-sided,,,,Short steep-sided valleys caused by collapse of an underground cavern and exposing the river to the surface are called karst windows.
karstosphere,spatially discontinuous layer,,spatially discontinuous layer,,,,"The term “ karstosphere ” was introduced by Maruashvili (1970), who defined it as a spatially discontinuous layer comprised of the global areas of karstifiable rocks."
konta,closed karst depression,that has been remodelled during Pleistocene glaciation .,"closed karst depression , like a doline",,,,"A konta is a closed karst depression, like a doline, that has been remodelled during Pleistocene glaciation."
Limestone,,,,,,,"Limestone is composed of calcium carbonate (CaCO3), deposited as the minerals aragonite and calcite."
losing streamflow,stream,,,contributes water to the karst groundwater system,in localized areas,,A losing streamflow is a surface stream that contributes water to the karst groundwater system in localized areas.
losing streamflow,stream,,,,,,A losing streamflow can be defined as an open stream or river that loses water as it flows downstream. water
master joints,Joints,,,control the orientation of master conduits,,extend to a depth of several tens of metres,"Joints that cross many beds are called master joints; they often extend to a depth of several tens of metres and control the orientation of master conduits (Dreybrodt 1988, Ford & Williams 1989)."
travertine,deposit,"precipitated from spring , river or lake water",banded,,,,"travertine - compact calcium carbonate deposit, often banded, precipitated from spring, river or lake water. cf. tufa."
tube,cave passage,,elliptical or nearly circular in cross-section|of smooth surface,,,,"tube - a cave passage of smooth surface, and elliptical or nearly circular in cross-section."
tufa,calcium carbonate,"from spring , river or lake waters",,,,,"tufa - spongy or vesicular calcium carbonate deposited from spring, river or lake waters."
twilight zone,cave,,,,the part of a cave,,twilight zone - the part of a cave to which daylight penetrates.
uvala,depression,,with several lesser depressions within its rim|complex dosed,,,,uvala - a complex dosed depression with several lesser depressions within its rim.
vadose zone,zone,,,through which water descends under gravity,the zone where voids in the rock are partly filled with air,,vadose zone - the zone where voids in the rock are partly filled with air and through which water descends under gravity.
vauclusian spring,spring,,"rising up a deep , steeply inclined , waterfilled passage into a small surface pool",,,,"vauclusian spring - a spring rising up a deep, steeply inclined, waterfilled passage into a small surface pool."
vermiculation,,,"pattern of thin , worm-shaped coatings of day",,on cave surfaces,,"vermiculation - pattern of thin, worm-shaped coatings of day or silt on cave surfaces."
water table,,,,,"between phreatic water , which completely fills voids in the rock , and ground air , which partially fills higher voids",,"water table - the surface between phreatic water, which completely fills voids in the rock, and ground air, which partially fills higher voids. water"
water tracing,,,,,on the surface or underground,,water tracing - determination of water connection between points of stream disappearance or of soil water seepage and points of reappearance on the surface or underground.
well,hole,,deep|rounded,,on the surface in karst|in a cave floor,,well - a deep rounded hole in a cave floor or on the surface in karst.
active cave,Cave,,,containing a running stream,,,active cave: Cave containing a running stream.
active cave,Cave,,,,,,active cave: Cave in which speleothems are growing. Compare live cave.
aggressive water,Water,,,having the ability to dissolve rocks,,,"aggressive water: Water having the ability to dissolve rocks. In the context of limestone and dolomite, this term refers especially to water containing dissolved carbon dioxide or, rarely, other acids."
anastomosis,,,A complex of many irregular and repeatedly connected passages,,in a cave or in a solution - sculptured rock,,"anastomosis: A network of tubular passages or holes in a cave or in a solution - sculptured rock. A complex of many irregular and repeatedly connected passages. Synonym, labryrinth."
anthodite,cave formation,,which radiate ortward from a common base|feathery or radiating|long needlelike,,,,"anthodite: A cave formation composed of feathery or radiating masses of long needlelike crystals of gypsum or aragonite, which radiate ortward from a common base. See also cave flower. feathery or radiating long needlelike"
apron,mass of flowstone,,smooth,,covering sloping projections from walls of caves or limestone cliffs,,apron: A smooth bulging mass of flowstone covering sloping projections from walls of caves or limestone cliffs.
aquifer,ground-water reservoir,,,will yield water to a well or spring,,,aquifer: A ground-water reservoir. Pervious rock that is completely saturated and will yield water to a well or spring.
aragonite,mineral,,like calcite but differing in crystal form,,,,"aragonite: A mineral composed of calcium carbonate, CaCO2, like calcite but differing in crystal form."
pinnacle karst,landscape,,of naked reticulated saw-topped ridges having almost vertical slopes|ridges rise above forest-covered corridors and depressions,,,a relief of as much as 120 meters,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more."
arete,landscape,,of naked reticulated saw-topped ridges having almost vertical slopes|ridges rise above forest-covered corridors and depressions,,,a relief of as much as 120 meters,"arete and pinnacle karst: A landscape of naked reticulated saw-topped ridges having almost vertical slopes and a relief of as much as 120 meters. The ridges rise above forest-covered corridors and depressions. Found in New Guinea at elevations of 2,000 meters and more."
backflooding,rising water level,caused downstream passage being too small to pass an abnormally high discharge,,,in a cave,,backflooding: Temporarily rising water level in a cave caused downstream passage being too small to pass an abnormally high discharge. The excavation and reexcavation of some caves is ascribed to the enlarger'ent of a passage at or near the water table by gravity flow alternating with periods of calcite precipitation.
bacon,flowstone,,elongated translucent|Thin,,projecting from roofs and walls of some caves,,"bacon: Thin, elongated, translucent flowstone having parallel colored bands on or projecting from roofs and walls of some caves. See also blanket; curtain; drapery."
balcony,projection on the wall,,,,on the wall of a cave,large enough to support one or more persons,balcony: Any projection on the wall of a cave large enough to support one or more persons.
